name,loaning_club,player_value_in_moment_of_transfer,league,year
Tom Fellows,Crawley Town,-,GB4,2022
Kieron Bowie,Northampton Town,-,GB4,2022
Lewis Richards,Harrogate Town,-,GB4,2022
Sean Robertson,Crewe Alexandra,-,GB4,2022
Harrison Neal,AFC Barrow,-,GB4,2022
Calum Kavanagh,Newport County,-,GB4,2022
Eli King,Crewe Alexandra,-,GB4,2022
John-Kymani Gordon,Carlisle United,-,GB4,2022
Ellis Taylor,Hartlepool United,-,GB4,2022
Kyle Hudlin,AFC Wimbledon,-,GB4,2022
Thierry Nevers,Bradford City,-,GB4,2022
Todd Cantwell,AFC Bournemouth,"20,00 mln €",GB2,2021
Abdallah Sima,Stoke City,"11,00 mln €",GB2,2021
Freddie Woodman,AFC Bournemouth,"10,00 mln €",GB2,2021
Neco Williams,FC Fulham,"8,00 mln €",GB2,2021
Nathaniel Phillips,AFC Bournemouth,"8,00 mln €",GB2,2021
Filip Uremovic,Sheffield United,"7,00 mln €",GB2,2021
Morgan Gibbs-White,Sheffield United,"7,00 mln €",GB2,2021
Aaron Connolly,FC Middlesbrough,"7,00 mln €",GB2,2021
Jeff Hendrick,Queens Park Rangers,"7,00 mln €",GB2,2021
Ethan Laird,AFC Bournemouth,"5,00 mln €",GB2,2021
Rhys Williams,Swansea City,"5,00 mln €",GB2,2021
Andraz Sporar,FC Middlesbrough,"5,00 mln €",GB2,2021
Hannes Wolf,Swansea City,"5,00 mln €",GB2,2021
