name,loaning_club,player_value_in_moment_of_transfer,league,year,market_value_in_eur
Daniel Oyegoke,Milton Keynes Dons,-,GB3,2022,500000.0
Robert Street,Shrewsbury Town,-,GB3,2022,
Robert Street,Newport County,-,GB4,2021,
Ryan Astley,Accrington Stanley,-,GB3,2022,600000.0
Jarell Quansah,Bristol Rovers,-,GB3,2022,
Taylor Perry,Cheltenham Town,-,GB3,2022,300000.0
Taylor Perry,Cheltenham Town,-,GB3,2021,300000.0
Joe White,Exeter City,-,GB3,2022,
Joe White,Hartlepool United,-,GB4,2021,
Tony Springett,Derby County,-,GB3,2022,
Kell Watts,Peterborough United,-,GB3,2022,
Kell Watts,Wigan Athletic,-,GB3,2021,
Kell Watts,Plymouth Argyle,-,GB3,2020,
Kell Watts,FC Stevenage,-,GB4,2019,
Kell Watts,Mansfield Town,-,GB4,2019,
Matty Longstaff,Colchester United,"1,80 mln €",GB4,2022,1800000.0
Matty Longstaff,Mansfield Town,"2,50 mln €",GB4,2021,1800000.0
Arthur Okonkwo,Crewe Alexandra,"1,50 mln €",GB4,2022,1500000.0
Ethan Galbraith,Salford City,800 tys. €,GB4,2022,800000.0
Ethan Galbraith,Doncaster Rovers,900 tys. €,GB3,2021,800000.0
Ryan Schofield,Crawley Town,500 tys. €,GB4,2022,500000.0
Ryan Schofield,Notts County,100 tys. €,GB4,2018,500000.0
Adam Lewis,Newport County,500 tys. €,GB4,2022,500000.0
Adam Lewis,Plymouth Argyle,500 tys. €,GB3,2020,500000.0
Daryl Horgan,FC Stevenage,450 tys. €,GB4,2022,450000.0
D'Mani Mellor,AFC Rochdale,450 tys. €,GB4,2022,450000.0
D'Mani Mellor,Salford City,-,GB4,2021,450000.0
Dean Campbell,FC Stevenage,425 tys. €,GB4,2022,425000.0
Jamie McCart,Leyton Orient,400 tys. €,GB4,2022,400000.0
Logan Chalmers,Tranmere Rovers,375 tys. €,GB4,2022,375000.0
Josh Eppiah,Northampton Town,350 tys. €,GB4,2022,350000.0
Josh Eppiah,Northampton Town,350 tys. €,GB4,2021,350000.0
Teddy Jenks,Crawley Town,325 tys. €,GB4,2022,325000.0
Jack Hamilton,Hartlepool United,325 tys. €,GB4,2022,325000.0
Jack Hamilton,Hartlepool United,325 tys. €,GB4,2022,300000.0
Marc Leonard,Northampton Town,300 tys. €,GB4,2022,300000.0
Dan Kemp,Hartlepool United,300 tys. €,GB4,2022,300000.0
Dan Kemp,FC Blackpool,-,GB3,2020,300000.0
Dan Kemp,FC Stevenage,-,GB4,2019,300000.0
Kasey McAteer,AFC Wimbledon,300 tys. €,GB4,2022,300000.0
Kasey McAteer,Forest Green Rovers,300 tys. €,GB4,2021,300000.0
Max Woltman,Doncaster Rovers,300 tys. €,GB4,2022,300000.0
Danny Johnson,FC Walsall,300 tys. €,GB4,2022,300000.0
Dara Costelloe,Bradford City,300 tys. €,GB4,2022,300000.0
Ashley Maynard-Brewer,FC Gillingham,300 tys. €,GB4,2022,300000.0
Conor Masterson,FC Gillingham,300 tys. €,GB4,2022,300000.0
Conor Masterson,Cambridge United,300 tys. €,GB3,2021,300000.0
Conor Masterson,FC Gillingham,300 tys. €,GB3,2021,300000.0
Conor Masterson,Swindon Town,300 tys. €,GB3,2020,300000.0
Regan Hendry,Tranmere Rovers,300 tys. €,GB4,2022,300000.0
Kieran Sadlier,Leyton Orient,300 tys. €,GB4,2022,300000.0
Matty Daly,Harrogate Town,250 tys. €,GB4,2022,250000.0
Matty Daly,Hartlepool United,250 tys. €,GB4,2021,250000.0
Matty Daly,Bradford City,250 tys. €,GB4,2021,250000.0
Charlie Lakin,Doncaster Rovers,250 tys. €,GB4,2022,250000.0
Charlie Lakin,FC Stevenage,100 tys. €,GB4,2019,250000.0
Dion Pereira,Bradford City,250 tys. €,GB4,2022,250000.0
