,name,loaning_club,player_value_in_moment_of_transfer,league,year,market_value_in_eur
1046,Jordan Graham,Ipswich Town,500000,GB2,2018,300000.0
1047,Jordan Graham,Oxford United,500000,GB3,2018,300000.0
1048,Donervon Daniels,Doncaster Rovers,250000,GB3,2019,300000.0
1049,Jak Alnwick,FC Blackpool,250000,GB3,2019,400000.0
1050,Jak Alnwick,Scunthorpe United,250000,GB3,2018,400000.0
1051,Thibaud Verlinden,Bolton Wanderers,250000,GB3,2019,600000.0
1052,Kane Wilson,Tranmere Rovers,250000,GB3,2019,300000.0
1053,Kane Wilson,FC Walsall,250000,GB3,2018,300000.0
1054,Kane Wilson,Exeter City,250000,GB4,2018,300000.0
1055,Jason Lokilo,Doncaster Rovers,200000,GB3,2019,400000.0
1056,Harry Souttar,Fleetwood Town,200000,GB3,2019,6000000.0
1057,Harry Souttar,Fleetwood Town,200000,GB3,2018,6000000.0
1058,Seny Dieng,Doncaster Rovers,150000,GB3,2019,1500000.0
1059,Seny Dieng,FC Stevenage,100000,GB4,2018,1500000.0
1060,Jordan Roberts,FC Gillingham,150000,GB3,2019,300000.0
1061,Jordan Roberts,Lincoln City,100000,GB4,2018,300000.0
1062,Benny Ashley-Seal,Accrington Stanley,150000,GB3,2019,50000.0
1063,Patrik Gunnarsson,Southend United,150000,GB3,2019,700000.0
1064,Alfie Jones,FC Gillingham,100000,GB3,2019,1000000.0
1065,Callum Lang,Shrewsbury Town,100000,GB3,2019,1200000.0
1066,Callum Lang,Oldham Athletic,-,GB4,2018,1200000.0
1067,Alex Jakubiak,FC Gillingham,100000,GB3,2019,150000.0
1068,Alex Jakubiak,Bristol Rovers,100000,GB3,2018,150000.0
1069,Anthony Georgiou,Ipswich Town,50000,GB3,2019,300000.0
1070,Anthony Georgiou,Bolton Wanderers,50000,GB3,2019,300000.0
1071,Aaron Chapman,Tranmere Rovers,25000,GB3,2019,200000.0
1072,Ethan Hamilton,Southend United,-,GB3,2019,500000.0
1073,Ethan Hamilton,Bolton Wanderers,-,GB3,2019,500000.0
1074,Ethan Hamilton,AFC Rochdale,-,GB3,2018,500000.0
1075,Layton Ndukwu,Southend United,-,GB3,2019,100000.0
1076,Robert Sánchez,AFC Rochdale,-,GB3,2019,32000000.0
1077,Robert Sánchez,Forest Green Rovers,-,GB4,2018,32000000.0
1079,Dan Barlaser,Rotherham United,-,GB3,2019,2000000.0
1080,Dan Barlaser,Accrington Stanley,-,GB3,2018,2000000.0
1081,Nathan Trott,AFC Wimbledon,-,GB3,2019,400000.0
1082,Jacob Ramsey,Doncaster Rovers,-,GB3,2019,28000000.0
1083,Ísak Snaer Thorvaldsson,Fleetwood Town,-,GB3,2019,300000.0
1086,Max Sanders,AFC Wimbledon,-,GB3,2019,200000.0
1089,Eoin Doyle,Swindon Town,650000,GB4,2019,300000.0
1090,Zak Rudden,Plymouth Argyle,400000,GB4,2019,300000.0
1091,Glenn Middleton,Bradford City,400000,GB4,2019,500000.0
1092,Jack Baldwin,Salford City,400000,GB4,2019,450000.0
1094,Gavin Reilly,Cheltenham Town,350000,GB4,2019,150000.0
1095,Nathan Thomas,Carlisle United,250000,GB4,2019,200000.0
1096,Nathan Thomas,Notts County,250000,GB4,2018,200000.0
1097,Nathan Thomas,Carlisle United,250000,GB4,2018,200000.0
1099,Theo Robinson,Colchester United,200000,GB4,2019,200000.0
1100,Theo Robinson,Colchester United,200000,GB4,2019,200000.0
1101,Theo Robinson,Swindon Town,200000,GB4,2018,200000.0
1103,Ryan Inniss,Newport County,150000,GB4,2019,150000.0
1104,Jake Jervis,Salford City,150000,GB4,2019,250000.0
1105,Jake Jervis,AFC Wimbledon,150000,GB3,2018,250000.0
1106,Jack Rose,FC Walsall,100000,GB4,2019,100000.0
1107,Gregor Zabret,Oldham Athletic,75000,GB4,2019,75000.0
1109,Cameron Burgess,Salford City,-,GB4,2019,500000.0
1111,Mason Bloomfield,Crawley Town,-,GB4,2019,250000.0
1113,Lloyd Jones,Northampton Town,-,GB4,2019,200000.0
1114,Lloyd Jones,Plymouth Argyle,100000,GB3,2018,200000.0
1117,Josh Benson,Grimsby Town,-,GB4,2019,300000.0
1118,Liam Gibson,Grimsby Town,-,GB4,2019,150000.0
1119,Liam Gibson,Accrington Stanley,-,GB3,2018,150000.0
1122,Jake Doyle-Hayes,Cheltenham Town,-,GB4,2019,500000.0
1123,Jake Doyle-Hayes,Cambridge United,-,GB4,2018,500000.0
1125,Dylan Connolly,Bradford City,-,GB4,2019,300000.0
1127,Danny McNamara,Newport County,-,GB4,2019,1800000.0
1129,Tammy Abraham,Aston Villa,10000000,GB2,2018,45000000.0
1130,Tom Carroll,Aston Villa,7000000,GB2,2018,1500000.0
1131,Mason Holgate,West Bromwich Albion,7000000,GB2,2018,16000000.0
1132,Jordan Rhodes,Norwich City,6000000,GB2,2018,400000.0
1133,Lewis Baker,Leeds United,5000000,GB2,2018,3000000.0
1134,Lewis Baker,FC Reading,5000000,GB2,2018,3000000.0
1135,Léo Bonatini,Nottingham Forest,5000000,GB2,2018,500000.0
1136,Tomas Kalas,Bristol City,5000000,GB2,2018,1800000.0
1138,Muhamed Besic,FC Middlesbrough,5000000,GB2,2018,1200000.0
1139,Nélson Oliveira,FC Reading,5000000,GB2,2018,1500000.0
1140,Rajiv van La Parra,FC Middlesbrough,4000000,GB2,2018,300000.0
1141,Gary Madine,Sheffield United,4000000,GB2,2018,400000.0
1142,Sam Byram,Nottingham Forest,4000000,GB2,2018,2000000.0
1143,Yanic Wildschut,Bolton Wanderers,4000000,GB2,2018,400000.0
1144,Mason Mount,Derby County,4000000,GB2,2018,75000000.0
1145,Jack Colback,Nottingham Forest,3000000,GB2,2018,800000.0
1146,Tyrone Mings,Aston Villa,3000000,GB2,2018,25000000.0
1147,Jack Harrison,Leeds United,3000000,GB2,2018,25000000.0
1148,Chris Martin,Hull City,3000000,GB2,2018,300000.0
1149,Saidy Janko,Nottingham Forest,3000000,GB2,2018,1000000.0
1150,Josh Onomah,Sheffield Wednesday,3000000,GB2,2018,2500000.0
1151,Oliver Norwood,Sheffield United,3000000,GB2,2018,3000000.0
1152,Gil Dias,Nottingham Forest,3000000,GB2,2018,2000000.0
1153,Michael Hector,Sheffield Wednesday,3000000,GB2,2018,1700000.0
1154,Cuco Martina,Stoke City,2000000,GB2,2018,300000.0
1155,Tomer Hemed,Queens Park Rangers,2000000,GB2,2018,250000.0
1156,Geoff Cameron,Queens Park Rangers,2000000,GB2,2018,150000.0
1157,Diogo Gonçalves,Nottingham Forest,2000000,GB2,2018,5000000.0
